 ,,,,
,,,,
Sur1,,,,
eV,Point 1,Point 2,Point 3,Point 4
20,1063250,808000,1174350,1078150
20.5,1033650,806300,1168000,1066450
21,1022500,785500,1151600,1062250
21.5,1012300,764000,1135600,1043800
22,996200,735200,1131950,1044200
22.5,984550,715700,1116200,1043450
23,968900,733500,1107250,1043400
23.5,954800,728650,1103700,1041900
24,956700,711300,1090150,1044900
24.5,944000,700200,1074800,1029500
25,928200,689850,1074950,1028350
25.5,913000,682800,1059000,1006700
26,895700,676150,1040450,1003250
26.5,867300,664750,1028250,1006450
27,851500,644200,1007100,985450
27.5,839150,647200,998100,971550
28,837250,635250,979550,950900
28.5,826200,644300,959650,935600
29,810300,642600,937300,932200
29.5,815250,633650,932600,909400
30,806300,626750,915950,899250
30.5,798050,617950,904950,894150
31,795800,605250,897100,884450
31.5,783650,611750,890450,866350
32,780800,606650,879700,866250
32.5,777850,575550,875200,854750
33,773800,561450,876650,858300
33.5,776250,558700,884050,859850
34,772550,561300,873650,856900
34.5,774900,575200,878400,863350
35,782000,596600,884750,861800
35.5,770400,603950,896900,868150
36,769700,597900,909600,884500
36.5,765250,598200,898800,878550
37,765400,604350,883150,872950
37.5,757550,601950,886450,864550
38,745800,597950,878400,857550
38.5,742050,592650,854250,840650
39,735900,585350,841950,827400
39.5,739850,575900,840550,830850
40,741750,586650,851750,824750
40.5,731900,603100,860000,830000
41,748100,599500,876950,839800
41.5,743300,608750,893750,862750
42,751550,603600,911500,885550
42.5,750500,600300,921850,901450
43,740800,590450,919450,897750
43.5,738900,568450,897550,889150
44,736150,560050,875600,874550
44.5,729700,557600,849000,838750
45,709000,546650,810100,820550
45.5,704650,546850,785800,798100
46,694500,545000,769700,770450
46.5,682600,535300,762000,756900
47,676500,526950,766250,738150
47.5,663400,523650,745850,744200
48,669750,533150,739750,732250
48.5,664650,525000,749900,734600
49,669900,525150,744800,741700
49.5,666750,524350,736200,727450
50,667350,517700,745250,724250
50.5,653900,516900,738400,721000
51,659000,510600,726150,729450
51.5,673900,508950,726700,731250
52,672900,512000,727500,719200
52.5,666350,517350,722150,710450
53,669850,510500,721600,712150
53.5,669100,519300,734800,715700
54,649750,514850,721100,701800
54.5,634650,490000,721550,697500
55,610050,467450,717400,701550
55.5,584400,448350,712500,694350
56,560100,433650,715350,689150
56.5,554450,418150,708250,686950
57,546250,417650,700350,688550
57.5,544100,416650,702050,699650
58,548450,420050,710250,695200
58.5,541050,422600,709450,688600
59,555600,428800,702000,677050
59.5,545200,420700,701550,675200
60,537400,417200,704450,677500
60.5,541450,429900,706850,684500
61,533500,432150,705350,677700
61.5,541550,430350,702800,678800
62,532950,428750,699950,681000
62.5,532700,434700,707650,685350
63,543450,432550,701750,685400
63.5,531700,429150,698100,678450
64,530450,435450,694750,678400
64.5,529200,430350,691900,685100
65,527000,429550,695250,688100
65.5,520950,427700,695450,680650
66,517250,426650,697400,674950
66.5,527050,424350,697750,672300
67,525500,427050,684800,676400
67.5,531200,426850,694500,668150
68,526700,431500,691500,662600
68.5,521350,430650,688550,661100
69,519550,423450,688600,660550
69.5,511900,414900,692200,658200
70,520800,415300,696100,653100
70.5,518700,418900,695850,660950
