 ,Area,Mean,Min,Max
1,5,255,255,255
2,12,255,255,255
3,3,255,255,255
4,4,255,255,255
5,2,255,255,255
6,1,255,255,255
7,7,255,255,255
8,7,255,255,255
9,1,255,255,255
10,4,255,255,255
11,1,255,255,255
12,6,255,255,255
13,16,255,255,255
14,2,255,255,255
15,2,255,255,255
16,4,255,255,255
17,4,255,255,255
18,2,255,255,255
19,3,255,255,255
20,3,255,255,255
21,3,255,255,255
22,1,255,255,255
23,6,255,255,255
24,8,255,255,255
25,1,255,255,255
26,4,255,255,255
27,2,255,255,255
28,6,255,255,255
29,8,255,255,255
30,10,255,255,255
31,5,255,255,255
32,11,255,255,255
33,2,255,255,255
34,5,255,255,255
35,2,255,255,255
36,2,255,255,255
37,3,255,255,255
38,1,255,255,255
39,4,255,255,255
40,1,255,255,255
41,6,255,255,255
42,2,255,255,255
43,4,255,255,255
44,6,255,255,255
45,2,255,255,255
46,21,255,255,255
47,5,255,255,255
48,4,255,255,255
49,3,255,255,255
50,1,255,255,255
51,1,255,255,255
52,6,255,255,255
53,7,255,255,255
54,2,255,255,255
55,5,255,255,255
56,2,255,255,255
57,2,255,255,255
58,1,255,255,255
59,3,255,255,255
60,2,255,255,255
61,1,255,255,255
62,3,255,255,255
63,10,255,255,255
64,1,255,255,255
